,2024-08,2024-09
$ Gain / Loss,397.7,-295.08000000000004
% Gain / Loss,14.520000000000001,-9.31
Win %,40.0,20.0
Average Winner %,5.5975,7.47
Average Loser %,-1.5740000000000003,-2.643333333333333
Best Win $,347.4,320.0
Best Win %,12.71,15.34
Worst Loss $,-70.0,-314.0
Worst Loss %,-2.83,-5.61
Profit / Loss Ratio,3.5568445475638044,2.6740659192522864
Trades Closed,10.0,15.0
Average R Gain,3.7475000000000005,2.2266666666666666
Average R Loss,-0.624,-0.8408333333333333
Average R Gain/Loss Ratio,6.005608974358975,2.6481665014866205
Account Return $,397.7,-295.08000000000004
Account Return %,14.520000000000001,-9.31
